"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"ITA17_TM_1824";"65";"24.8";"14.5";"80.9"
"ITA17_TM_1824";"66";"24.8";"15.2";"80.9"
"ITA17_TM_1824";"67";"24.8";"10.5";"80.9"
"ITA17_TM_1824";"68";"24.8";"0";"80.9"
"ITA17_TM_1824";"69";"24.8";"12.7";"80.9"
"ITA17_TM_1824";"70";"24.8";"9.5";"80.9"
"ITA17_TM_1824";"71";"24.8";"8.3";"80.9"
"ITA17_TM_1824";"72";"24.8";"7.4";"80.9"
"ITA17_TM_1824";"73";"24.8";"13.16666667";"80.33333333"
"ITA17_TM_1824";"74";"24.8";"14.66666667";"80.33333333"
"ITA17_TM_1824";"75";"24.8";"15";"80.33333333"
"ITA17_TM_1824";"76";"24.8";"14.5";"80.33333333"
"ITA17_TM_1824";"77";"24.8";"15.33333333";"80.33333333"
"ITA17_TM_1824";"78";"24.8";"15.66666667";"80.33333333"
"ITA17_TM_1824";"79";"24.8";"13.33333333";"80.33333333"
"ITA17_TM_1824";"80";"24.8";"0";"80.33333333"
"ITA17_TM_1824";"81";"24.8";"14.16666667";"80.33333333"
"ITA17_TM_1824";"82";"24.8";"16.66666667";"80.33333333"
"ITA17_TM_1824";"83";"24.8";"8.666666666";"80.33333333"
"ITA17_TM_1824";"84";"24.8";"10.66666667";"80.33333333"
"ITA17_TM_2440";"0";"45";"18.6";"116.6"
"ITA17_TM_2440";"1";"45";"18.6";"116.6"
"ITA17_TM_2440";"2";"45";"17.4";"116.6"
"ITA17_TM_2440";"3";"45";"12.8";"116.6"
"ITA17_TM_2440";"4";"45";"16.7";"116.6"
"ITA17_TM_2440";"5";"45";"12.8";"116.6"
"ITA17_TM_2440";"6";"45";"8.3";"116.6"
"ITA17_TM_2440";"7";"45";"17.6";"116.6"
"ITA17_TM_2440";"8";"45";"0.3";"116.6"
"ITA17_TM_2440";"9";"45";"12.6";"116.6"
"ITA17_TM_2440";"10";"45";"16.7";"116.6"
"ITA17_TM_2440";"11";"45";"13";"116.6"
"ITA17_TM_2440";"12";"45";"10.7";"116.6"
"ITA17_TM_2440";"13";"44.2";"15.1";"117.1"
"ITA17_TM_2440";"14";"44.2";"13.9";"117.1"
"ITA17_TM_2440";"15";"44.2";"18";"117.1"
"ITA17_TM_2440";"16";"44.2";"15";"117.1"
"ITA17_TM_2440";"17";"44.2";"17.3";"117.1"
"ITA17_TM_2440";"18";"44.2";"16.6";"117.1"
"ITA17_TM_2440";"19";"44.2";"19.5";"117.1"
"ITA17_TM_2440";"20";"44.2";"0.6";"117.1"
"ITA17_TM_2440";"21";"44.2";"13.8";"117.1"
"ITA17_TM_2440";"22";"44.2";"12.6";"117.1"
"ITA17_TM_2440";"23";"44.2";"14.7";"117.1"
"ITA17_TM_2440";"24";"44.2";"11.4";"117.1"
"ITA17_TM_2440";"25";"40.8";"15.3";"117.3"
"ITA17_TM_2440";"26";"40.8";"13.1";"117.3"
"ITA17_TM_2440";"27";"40.8";"15.7";"117.3"
"ITA17_TM_2440";"28";"40.8";"11.9";"117.3"
"ITA17_TM_2440";"29";"40.8";"15.9";"117.3"
"ITA17_TM_2440";"30";"40.8";"16.3";"117.3"
"ITA17_TM_2440";"31";"40.8";"19.7";"117.3"
"ITA17_TM_2440";"32";"40.8";"0";"117.3"
"ITA17_TM_2440";"33";"40.8";"14.7";"117.3"
"ITA17_TM_2440";"34";"40.8";"12.7";"117.3"
"ITA17_TM_2440";"35";"40.8";"17.1";"117.3"
"ITA17_TM_2440";"36";"40.8";"14.6";"117.3"
"ITA17_TM_2440";"37";"41";"14.1";"115.4"
"ITA17_TM_2440";"38";"41";"12.9";"115.4"
"ITA17_TM_2440";"39";"41";"10.1";"115.4"
"ITA17_TM_2440";"40";"41";"15.7";"115.4"
"ITA17_TM_2440";"41";"41";"10.2";"115.4"
"ITA17_TM_2440";"42";"41";"17.7";"115.4"
"ITA17_TM_2440";"43";"41";"18.3";"115.4"
"ITA17_TM_2440";"44";"41";"0";"115.4"
"ITA17_TM_2440";"45";"41";"0";"115.4"
"ITA17_TM_2440";"46";"41";"13.2";"115.4"
"ITA17_TM_2440";"47";"41";"14.8";"115.4"
"ITA17_TM_2440";"48";"41";"14.8";"115.4"
"ITA17_TM_2440";"49";"53.7";"11.5";"108.8"
"ITA17_TM_2440";"50";"53.7";"11.3";"108.8"
"ITA17_TM_2440";"51";"53.7";"12.7";"108.8"
"ITA17_TM_2440";"52";"53.7";"16.9";"108.8"
"ITA17_TM_2440";"53";"53.7";"17.2";"108.8"
"ITA17_TM_2440";"54";"53.7";"16.2";"108.8"
"ITA17_TM_2440";"55";"53.7";"13.6";"108.8"
"ITA17_TM_2440";"56";"53.7";"1.5";"108.8"
