fleet_segment;Month;VESSELS;DAYS;GT
HRV17_PS_1218;104;41;6.42;22
HRV17_PS_1218;105;41;6.42;22
HRV17_PS_1218;106;41;6.42;22
HRV17_PS_1218;107;41;6.42;22
HRV17_PS_1218;108;41;1.42;22
HRV17_PS_1218;109;41;0;22
HRV17_PS_1218;110;41;5.68;22
HRV17_PS_1218;111;41;5.68;22
HRV17_PS_1218;112;41;5.68;22
HRV17_PS_1218;113;41;0;22
HRV17_PS_1218;114;41;5.68;22
HRV17_PS_1218;115;41;5.68;22
HRV17_PS_1218;116;41;5.68;22
HRV17_PS_1218;117;41;5.68;22
HRV17_PS_1218;118;41;5.68;22
HRV17_PS_1218;119;41;5.68;22
HRV17_PS_1218;120;41;0.68;22
HRV17_PS_1218;121;41;0;22
HRV17_PS_1218;122;41;5.31;22
HRV17_PS_1218;123;41;5.31;22
HRV17_PS_1218;124;41;5.31;22
HRV17_PS_1218;125;41;0;22
HRV17_PS_1218;126;41;5.31;22
HRV17_PS_1218;127;41;5.31;22
HRV17_PS_1218;128;41;5.31;22
HRV17_PS_1218;129;41;5.31;22
HRV17_PS_1218;130;41;5.31;22
HRV17_PS_1218;131;41;5.31;22
HRV17_PS_1218;132;41;0.31;22
HRV17_PS_1218;133;41;0;22
HRV17_PS_1218;134;41;4.94;22
HRV17_PS_1218;135;41;4.94;22
HRV17_PS_1218;136;41;4.94;22
HRV17_PS_1218;137;41;0;22
HRV17_PS_1218;138;41;4.94;22
HRV17_PS_1218;139;41;4.94;22
HRV17_PS_1218;140;41;4.94;22
HRV17_PS_1218;141;41;4.94;22
HRV17_PS_1218;142;41;4.94;22
HRV17_PS_1218;143;41;4.94;22
HRV17_PS_1218;144;41;0;22
HRV17_PS_1218;145;41;0;22
HRV17_PS_1218;146;41;4.57;22
HRV17_PS_1218;147;41;4.57;22
HRV17_PS_1218;148;41;4.57;22
HRV17_PS_1218;149;41;0;22
HRV17_PS_1218;150;41;4.57;22
HRV17_PS_1218;151;41;4.57;22
HRV17_PS_1218;152;41;4.57;22
HRV17_PS_1218;153;41;4.57;22
HRV17_PS_1218;154;41;4.57;22
HRV17_PS_1218;155;41;4.57;22
HRV17_PS_1218;156;41;0;22
HRV17_PS_1218;157;41;0;22
HRV17_PS_1218;158;41;4.57;22
HRV17_PS_1218;159;41;4.57;22
HRV17_PS_1218;160;41;4.57;22
HRV17_PS_1218;161;41;0;22
HRV17_PS_1218;162;41;4.57;22
HRV17_PS_1218;163;41;4.57;22
HRV17_PS_1218;164;41;4.57;22
HRV17_PS_1218;165;41;4.57;22
HRV17_PS_1218;166;41;4.57;22
HRV17_PS_1218;167;41;4.57;22
HRV17_PS_1218;168;41;0;22
HRV17_PS_1824;0;55.5;7;78
HRV17_PS_1824;1;55.5;7;78
HRV17_PS_1824;2;55.5;14;78
HRV17_PS_1824;3;55.5;14;78
HRV17_PS_1824;4;55.5;14;78
HRV17_PS_1824;5;55.5;14;78
HRV17_PS_1824;6;55.5;14;78
HRV17_PS_1824;7;55.5;14;78
HRV17_PS_1824;8;55.5;14;78
HRV17_PS_1824;9;55.5;14;78
HRV17_PS_1824;10;55.5;14;78
HRV17_PS_1824;11;55.5;14;78
HRV17_PS_1824;12;55.5;7;78
HRV17_PS_1824;13;55.5;7;78
HRV17_PS_1824;14;55.5;14;78
HRV17_PS_1824;15;55.5;14;78
HRV17_PS_1824;16;55.5;14;78
HRV17_PS_1824;17;55.5;14;78
HRV17_PS_1824;18;55.5;14;78
HRV17_PS_1824;19;55.5;14;78
HRV17_PS_1824;20;55.5;14;78
HRV17_PS_1824;21;55.5;14;78
HRV17_PS_1824;22;55.5;14;78
HRV17_PS_1824;23;55.5;14;78
HRV17_PS_1824;24;55.5;7;78
HRV17_PS_1824;25;55.5;7;78
HRV17_PS_1824;26;55.5;14;78
HRV17_PS_1824;27;55.5;14;78
HRV17_PS_1824;28;55.5;14;78
HRV17_PS_1824;29;55.5;14;78
HRV17_PS_1824;30;55.5;14;78
HRV17_PS_1824;31;55.5;14;78
HRV17_PS_1824;32;55.5;14;78
HRV17_PS_1824;33;55.5;14;78
HRV17_PS_1824;34;55.5;14;78
HRV17_PS_1824;35;55.5;14;78
HRV17_PS_1824;36;55.5;7;78
HRV17_PS_1824;37;55.5;7;78
HRV17_PS_1824;38;55.5;14;78
HRV17_PS_1824;39;55.5;14;78
HRV17_PS_1824;40;55.5;14;78
HRV17_PS_1824;41;55.5;14;78
HRV17_PS_1824;42;55.5;14;78
HRV17_PS_1824;43;55.5;14;78
HRV17_PS_1824;44;55.5;14;78
HRV17_PS_1824;45;55.5;14;78
HRV17_PS_1824;46;55.5;14;78
HRV17_PS_1824;47;55.5;14;78
HRV17_PS_1824;48;55.5;7;78
HRV17_PS_1824;49;57;8;77
HRV17_PS_1824;50;57;16;77
HRV17_PS_1824;51;57;16;77
HRV17_PS_1824;52;57;16;77
HRV17_PS_1824;53;57;16;77
HRV17_PS_1824;54;57;16;77
HRV17_PS_1824;55;57;16;77
HRV17_PS_1824;56;57;16;77
HRV17_PS_1824;57;57;16;77
HRV17_PS_1824;58;57;16;77
HRV17_PS_1824;59;57;16;77
HRV17_PS_1824;60;57;8;77
HRV17_PS_1824;61;54;7;79
HRV17_PS_1824;62;54;13;79
HRV17_PS_1824;63;54;13;79
HRV17_PS_1824;64;54;13;79
HRV17_PS_1824;65;54;13;79
HRV17_PS_1824;66;54;13;79
HRV17_PS_1824;67;54;13;79
HRV17_PS_1824;68;54;13;79
HRV17_PS_1824;69;54;13;79
HRV17_PS_1824;70;54;13;79
HRV17_PS_1824;71;54;13;79
HRV17_PS_1824;72;54;7;79
HRV17_PS_1824;73;53;6;79
HRV17_PS_1824;74;53;12;79
HRV17_PS_1824;75;53;12;79
HRV17_PS_1824;76;53;12;79
HRV17_PS_1824;77;53;12;79
HRV17_PS_1824;78;53;12;79
HRV17_PS_1824;79;53;12;79
HRV17_PS_1824;80;53;12;79
HRV17_PS_1824;81;53;12;79
HRV17_PS_1824;82;53;12;79
HRV17_PS_1824;83;53;12;79
HRV17_PS_1824;84;53;6;79
HRV17_PS_1824;85;53;0;79
HRV17_PS_1824;86;53;12;79
HRV17_PS_1824;87;53;12;79
HRV17_PS_1824;88;53;12;79
HRV17_PS_1824;89;53;0;79
HRV17_PS_1824;90;53;12;79
HRV17_PS_1824;91;53;12;79
HRV17_PS_1824;92;53;12;79
HRV17_PS_1824;93;53;12;79
HRV17_PS_1824;94;53;12;79
HRV17_PS_1824;95;53;12;79
HRV17_PS_1824;96;53;4;79
HRV17_PS_1824;97;53;0;79
HRV17_PS_1824;98;53;11.04;79
HRV17_PS_1824;99;53;11.04;79
HRV17_PS_1824;100;53;11.04;79
HRV17_PS_1824;101;53;0;79
HRV17_PS_1824;102;53;11.04;79
HRV17_PS_1824;103;53;11.04;79
HRV17_PS_1824;104;53;11.04;79
HRV17_PS_1824;105;53;11.04;79
HRV17_PS_1824;106;53;11.04;79
HRV17_PS_1824;107;53;11.04;79
HRV17_PS_1824;108;53;3.04;79
HRV17_PS_1824;109;53;0;79
HRV17_PS_1824;110;53;9.76;79
HRV17_PS_1824;111;53;9.76;79
HRV17_PS_1824;112;53;9.76;79
HRV17_PS_1824;113;53;0;79
HRV17_PS_1824;114;53;9.76;79
HRV17_PS_1824;115;53;9.76;79
HRV17_PS_1824;116;53;9.76;79
HRV17_PS_1824;117;53;9.76;79
HRV17_PS_1824;118;53;9.76;79
HRV17_PS_1824;119;53;9.76;79
HRV17_PS_1824;120;53;1.76;79
HRV17_PS_1824;121;53;0;79
HRV17_PS_1824;122;53;9.12;79
HRV17_PS_1824;123;53;9.12;79
HRV17_PS_1824;124;53;9.12;79
HRV17_PS_1824;125;53;0;79
HRV17_PS_1824;126;53;9.12;79
HRV17_PS_1824;127;53;9.12;79
HRV17_PS_1824;128;53;9.12;79
HRV17_PS_1824;129;53;9.12;79
HRV17_PS_1824;130;53;9.12;79
HRV17_PS_1824;131;53;9.12;79
HRV17_PS_1824;132;53;1.12;79
HRV17_PS_1824;133;53;0;79
HRV17_PS_1824;134;53;8.48;79
HRV17_PS_1824;135;53;8.48;79
HRV17_PS_1824;136;53;8.48;79
HRV17_PS_1824;137;53;0;79
HRV17_PS_1824;138;53;8.48;79
HRV17_PS_1824;139;53;8.48;79
HRV17_PS_1824;140;53;8.48;79
HRV17_PS_1824;141;53;8.48;79
HRV17_PS_1824;142;53;8.48;79
HRV17_PS_1824;143;53;8.48;79
HRV17_PS_1824;144;53;0;79
HRV17_PS_1824;145;53;0;79
HRV17_PS_1824;146;53;7.84;79
HRV17_PS_1824;147;53;7.84;79
HRV17_PS_1824;148;53;7.84;79
HRV17_PS_1824;149;53;0;79
HRV17_PS_1824;150;53;7.84;79
HRV17_PS_1824;151;53;7.84;79
HRV17_PS_1824;152;53;7.84;79
HRV17_PS_1824;153;53;7.84;79
HRV17_PS_1824;154;53;7.84;79
HRV17_PS_1824;155;53;7.84;79
HRV17_PS_1824;156;53;0;79
HRV17_PS_1824;157;53;0;79
HRV17_PS_1824;158;53;7.84;79
HRV17_PS_1824;159;53;7.84;79
HRV17_PS_1824;160;53;7.84;79
HRV17_PS_1824;161;53;0;79
