year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2010;Jan;70;7;400;-1;-1;2;DTS_VL1218
2010;Feb;70;7;400;-1;-1;2;DTS_VL1218
2010;Mar;70;7;400;-1;-1;2;DTS_VL1218
2010;Apr;70;7;400;-1;-1;2;DTS_VL1218
2010;May;70;7;400;-1;-1;2;DTS_VL1218
2010;Jun;70;7;400;-1;-1;2;DTS_VL1218
2010;Jul;70;7;400;-1;-1;2;DTS_VL1218
2010;Aug;70;7;400;-1;-1;2;DTS_VL1218
2010;Set;70;7;400;-1;-1;2;DTS_VL1218
2010;Oct;70;7;400;-1;-1;2;DTS_VL1218
2010;Nov;70;7;400;-1;-1;2;DTS_VL1218
2010;Dec;70;7;400;-1;-1;2;DTS_VL1218
2011;Jan;80;7;400;-1;-1;2;DTS_VL1218
2011;Feb;80;7;400;-1;-1;2;DTS_VL1218
2011;Mar;80;7;400;-1;-1;2;DTS_VL1218
2011;Apr;80;7;400;-1;-1;2;DTS_VL1218
2011;May;80;7;400;-1;-1;2;DTS_VL1218
2011;Jun;80;7;400;-1;-1;2;DTS_VL1218
2011;Jul;80;7;400;-1;-1;2;DTS_VL1218
2011;Aug;80;7;400;-1;-1;2;DTS_VL1218
2011;Set;80;7;400;-1;-1;2;DTS_VL1218
2011;Oct;80;7;400;-1;-1;2;DTS_VL1218
2011;Nov;80;7;400;-1;-1;2;DTS_VL1218
2011;Dec;80;7;400;-1;-1;2;DTS_VL1218
2012;Jan;70;7;400;-1;-1;2;DTS_VL1218
2012;Feb;70;7;400;-1;-1;2;DTS_VL1218
2012;Mar;70;7;400;-1;-1;2;DTS_VL1218
2012;Apr;70;7;400;-1;-1;2;DTS_VL1218
2012;May;70;7;400;-1;-1;2;DTS_VL1218
2012;Jun;70;7;400;-1;-1;2;DTS_VL1218
2012;Jul;70;7;400;-1;-1;2;DTS_VL1218
2012;Aug;70;7;400;-1;-1;2;DTS_VL1218
2012;Set;70;7;400;-1;-1;2;DTS_VL1218
