FS;country code;country name;year;quarter;vessel length;fishing technique;gear type;target assemblage;mesh size range;metier;supra-region;sub-region;EEZ indicator;geo indicator;Nephrops sub-region;specon tech;deep;species;total live weight landed (tonnes);total value of landings (euro);total discards (tonnes);confidential
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SOO;0.158;1738.94;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SOO;0.002;12.75;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SQZ;0.007;125.55;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SRG;0.001;4.95;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SRG;0.051;59.15;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SSB;0.006;23.81;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SSB;0.019;39.87;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SVE;0.05;386.7;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SVE;0.14;807.89;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;TGS;0.022;438.03;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;TGS;0.021;356.26;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;TGS;0.542;7617.68;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;TUR;0.002;73.34;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;TUR;0.003;81.02;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;UUC;0.013;68.87;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;WEG;0.02;57.26;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ALB;0;0.82;NK;N
