FS;Year;Month;GT;Unit;Source;;;;;;
Calabria ionica_PGP;2013;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;2;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;2;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;4;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;2;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;4;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;2;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;4;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2017;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2005;0;3830;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2006;0;4292;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2007;0;4491;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2008;0;4293;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2009;0;4433;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2010;0;4320;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2011;0;4898;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2012;0;4749;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2013;0;4930;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2014;0;3641;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2015;0;3741;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
