FS;Year;Month;Vess;Unit;Source;;;;;;
GSA6_DTS_VL1824;2018;0;292;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2019;0;290;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2008;0;146;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2009;0;141;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2010;0;128;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2011;0;119;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2012;0;112;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2013;0;107;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2014;0;106;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2015;0;100;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2016;0;93;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2017;0;102;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2018;0;126;vess;AER-FDI;;;;;;
GSA6_DTS_VL2440;2019;0;125;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2008;0;42.71641791;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2009;0;70.11940299;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2010;0;65.48507463;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2011;0;36.06716418;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2012;0;40.5;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2013;0;30.62686567;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2014;0;30.2238806;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2015;0;27;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2016;0;37;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2017;0;28;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2018;0;109;vess;AER-FDI;;;;;;
GSA6_HOK_VL0624;2019;0;107;vess;AER-FDI;;;;;;
GSA6_PGP_VL0018;2008;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2009;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2010;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2011;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2012;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2013;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2014;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2015;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2016;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2017;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2018;0;319;vess;ASSESSMENT HKE;;;;;;
GSA6_PGP_VL0018;2019;0;319;vess;ASSESSMENT HKE;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;10
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
FriuliVeneziaGiulia_PS;2015;4;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2015;6;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2015;9;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2017;6;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2018;1;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2018;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2018;12;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2018;2;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_PS;2018;3;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TBB;2005;0;12;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2006;0;13;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2007;0;13;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2008;0;13;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2009;0;13;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2010;0;13;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2011;0;12;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2012;0;11;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2013;0;11;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2014;0;6;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2015;0;7;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2016;0;7;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2017;0;7;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TBB;2018;0;5;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_TM;2005;10;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2005;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2005;5;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2012;10;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2012;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2012;12;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2012;8;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2013;1;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2013;10;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2013;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2013;12;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2013;6;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2013;9;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;1;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;10;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;12;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;2;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;3;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;4;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;5;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;6;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;7;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2014;9;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;1;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;10;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;12;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;2;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;3;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;4;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;5;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;6;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;7;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2015;9;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;1;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;10;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;11;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;12;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;2;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;3;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;4;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;5;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;6;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;7;NA;Vessels;;;;;;;
FriuliVeneziaGiulia_TM;2016;9;NA;Vessels;;;;;;;
Marche_DRB;2017;4;NA;Vessels;;;;;;;
Marche_DRB;2018;1;NA;Vessels;;;;;;;
Marche_DRB;2018;3;NA;Vessels;;;;;;;
Marche_DRB;2018;4;NA;Vessels;;;;;;;
Marche_DTS;2005;0;232;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2006;0;191;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2007;0;174;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2008;0;173;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2009;0;172;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2010;0;174;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2011;0;160;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2012;0;176;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2013;0;167;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2014;0;134;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2015;0;148;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2016;0;148;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2017;0;261;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_DTS;2018;0;126;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2005;0;489;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2006;0;479;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2007;0;467;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2008;0;465;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2009;0;460;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2010;0;452;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2011;0;445;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2012;0;422;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2013;0;424;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2014;0;387;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2015;0;387;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2016;0;385;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2017;0;272;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_PGP;2018;0;400;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2005;0;14;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2006;0;12;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2007;0;12;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2008;0;13;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2009;0;15;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2010;0;14;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2011;0;14;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2012;0;14;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2013;0;14;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2014;0;10;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2015;0;11;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2016;0;11;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2017;0;10;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TBB;2018;0;18;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Marche_TM;2005;3;NA;Vessels;;;;;;;
Marche_TM;2005;4;NA;Vessels;;;;;;;
Marche_TM;2015;11;NA;Vessels;;;;;;;
Marche_TM;2015;12;NA;Vessels;;;;;;;
Marche_TM;2018;10;NA;Vessels;;;;;;;
Molise_DTS;2005;0;26;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2006;0;23;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2007;0;27;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2008;0;30;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2009;0;29;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2010;0;32;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2011;0;34;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2012;0;34;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2013;0;33;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2014;0;29;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2015;0;36;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2016;0;39;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2017;0;33;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Molise_DTS;2018;0;36;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;1;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;10;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;12;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;2;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;3;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;4;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;5;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;6;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;7;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;8;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2005;9;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;1;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;10;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;12;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;3;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;4;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;5;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;6;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;7;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;8;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2006;9;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;1;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;10;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;11;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;12;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;2;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;3;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;4;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;5;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;6;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;7;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;8;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2007;9;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;1;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;3;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;4;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;5;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;6;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;7;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2008;8;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2009;11;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2009;2;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2009;3;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2009;4;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2009;8;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2009;9;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2010;10;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2010;6;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2010;7;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2010;8;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2010;9;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;1;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;11;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;12;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;2;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;3;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;5;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;6;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2011;7;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2012;10;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Puglia adriatica_DTS;2013;1;NA;Vessels;file MBL2 SOL_fishing capacity.xlsx;;;;;;
