FS;Year;Month;Land;Unit;Source
Abruzzo_DTS;2016;1;1.67642;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;2;0.487;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;3;0.48366;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;4;0.66041;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;5;0.70693;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;6;5.97472;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;7;4.3679;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;8;6.84002;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;9;0.69549;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;10;2.18838;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;11;4.55889;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2016;12;5.85357;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;1;2.35539;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;2;5.25137;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;3;6.44763;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;4;6.07881;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;5;4.18871;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;6;4.24203;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;7;2.99071;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;8;0.90961;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;9;2.75868;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;10;10.05365;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;11;15.32865;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2017;12;10.53032;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;1;7.24639;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;2;9.35499;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;3;8.50946;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;4;6.61471;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;5;6.97883;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;6;6.88299;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;7;4.67735;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;8;3.78633;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;9;1.07796;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;10;5.07461;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;11;6.28796;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2018;12;3.30391;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;1;6.44295;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;2;1.51718;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;3;1.47396;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;4;3.81742;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;5;5.22799;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;6;9.94532;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;7;22.84059;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;8;29.52278;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;9;15.90603;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;10;6.9335;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;11;2.1926;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2005;12;4.05115;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;1;5.70749;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;2;5.07939;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;3;3.81821;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;4;5.61728;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;5;10.44857;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;6;10.04292;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;7;19.29207;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;8;9.54138;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;9;10.18704;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;10;6.25486;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;11;0.47401;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2006;12;0.07994;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;5;1.63511;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;6;4.01384;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;7;4.92542;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;8;2.92384;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;9;2.23883;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;10;2.65704;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;11;2.31627;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2007;12;0.68389;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;1;0.713;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;2;3.22363;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;3;2.74456;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;4;2.05429;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;5;1.3964;tons;File MBL2 SOL.xlsx
