FS;Year;Month;KW;Unit;Source;;;;;;
EmiliaRomagna_PGP;2012;0;21708.59;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2013;0;21341.37;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2014;0;20204.54;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2015;0;19049.36;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2016;0;18892.19;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2017;0;18630.1;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2018;0;17631.07;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2005;0;4935.97;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2006;0;4448.97;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2007;0;2780.17;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2008;0;2780.1;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2009;0;2597.2;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2010;0;2347.2;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2011;0;1996;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2012;0;1658;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2013;0;1658;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2014;0;1209;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2015;0;3835;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2016;0;3835;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2017;0;3835;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2018;0;4139.6;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2005;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;10
EmiliaRomagna_TM;2005;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2012;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2013;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;5;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2015;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2015;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2015;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2016;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2016;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
